nct_id,historical_first_results_label_version,first_results_attempt_version,first_results_posted_version,pre_episode_posted_version,results_episode_id,first_results_date,first_results_date_source,first_results_history_version_date,first_results_attempt_pcd,first_results_attempt_pcd_type,first_results_pcd,first_results_pcd_type,pre_first_results_pcd,pre_first_results_pcd_type,current_pcd,current_pcd_type,history_versions,posted_history_versions,review_not_passed_versions,pair_id,group
NCT03403374,14,14,14,13,NCT03403374:v14-v14,2020-10-09,resultsFirstSubmitDate,2020-10-09,2019-11-27,ACTUAL,2019-11-27,ACTUAL,2019-11-27,ACTUAL,2019-11-27,ACTUAL,18,18,0,132,nonfda_control
NCT03599713,24,24,24,23,NCT03599713:v24-v24,2023-04-07,resultsFirstSubmitDate,2023-04-07,2022-01-21,ACTUAL,2022-01-21,ACTUAL,2022-01-21,ACTUAL,2022-01-21,ACTUAL,31,31,0,133,fda_proxy
NCT04704531,5,5,5,4,NCT04704531:v5-v5,2025-06-06,resultsFirstSubmitDate,2026-02-11,2022-06-08,ACTUAL,2022-06-08,ACTUAL,2022-06-08,ACTUAL,2022-06-08,ACTUAL,6,6,0,133,nonfda_control
NCT04042376,48,48,48,47,NCT04042376:v48-v48,2025-03-14,resultsFirstSubmitDate,2025-03-27,2024-03-19,ACTUAL,2024-03-19,ACTUAL,2024-03-19,ACTUAL,2024-03-19,ACTUAL,51,51,0,134,fda_proxy
NCT05442554,8,8,8,7,NCT05442554:v8-v8,2025-08-10,resultsFirstSubmitDate,2025-08-10,2024-08-09,ACTUAL,2024-08-09,ACTUAL,2024-08-09,ACTUAL,2024-08-09,ACTUAL,10,10,0,134,nonfda_control
NCT03278028,6,6,6,5,NCT03278028:v6-v6,2019-03-07,resultsFirstSubmitDate,2019-03-07,2018-03-01,ACTUAL,2018-03-01,ACTUAL,2018-03-01,ACTUAL,2018-03-01,ACTUAL,8,8,0,135,fda_proxy
NCT03455491,1,1,1,0,NCT03455491:v1-v1,2019-02-18,resultsFirstSubmitDate,2019-10-14,2018-06-28,ACTUAL,2018-06-28,ACTUAL,2019-01-31,ESTIMATED,2018-06-28,ACTUAL,2,2,0,135,nonfda_control
NCT03905265,11,11,15,10,NCT03905265:v11-v15,2023-05-14,resultsFirstSubmitDate,2023-05-14,2022-02-28,ACTUAL,2022-02-28,ACTUAL,2022-02-28,ACTUAL,2022-02-28,ACTUAL,16,12,4,136,fda_proxy
NCT04623255,1,1,1,0,NCT04623255:v1-v1,2023-11-24,resultsFirstSubmitDate,2024-05-10,2022-01-31,ACTUAL,2022-01-31,ACTUAL,2021-10-15,ESTIMATED,2022-01-31,ACTUAL,2,2,0,136,nonfda_control
NCT04396756,11,11,12,10,NCT04396756:v11-v12,2024-02-15,resultsFirstSubmitDate,2024-02-15,2023-02-01,ACTUAL,2023-02-01,ACTUAL,2023-02-01,ACTUAL,2023-02-01,ACTUAL,14,13,1,137,fda_proxy
